img_name,predicted_label,confidence
1066.jpeg,head_lamp,0.9876528978347778
1228.jpeg,tail_lamp,0.9870098829269409
398.jpeg,tail_lamp,0.9731184244155884
632.jpeg,bumper_dent,0.9561344385147095
160.jpeg,glass_shatter,0.9438843727111816
1156.jpeg,head_lamp,0.9429253339767456
451.jpeg,tail_lamp,0.9376416206359863
1041.jpeg,head_lamp,0.9358315467834473
154.jpeg,glass_shatter,0.9335984587669373
1510.jpeg,head_lamp,0.9212735891342163
391.jpeg,head_lamp,0.9126872420310974
1098.jpeg,head_lamp,0.899060845375061
273.jpeg,glass_shatter,0.8970043659210205
1190.jpeg,glass_shatter,0.8893176317214966
1071.jpeg,glass_shatter,0.8821484446525574
1062.jpeg,door_dent,0.8760597705841064
583.jpeg,head_lamp,0.8748816847801208
1036.jpeg,door_dent,0.8703527450561523
565.jpeg,glass_shatter,0.8693797588348389
48.jpeg,glass_shatter,0.8605304956436157
251.jpeg,head_lamp,0.8589927554130554
859.jpeg,door_dent,0.8551095724105835
845.jpeg,door_dent,0.8510116338729858
59.jpeg,head_lamp,0.8458510041236877
619.jpeg,head_lamp,0.8313389420509338
1176.jpeg,head_lamp,0.825532078742981
731.jpeg,glass_shatter,0.8209720849990845
114.jpeg,tail_lamp,0.8180657029151917
96.jpeg,glass_shatter,0.8167176246643066
567.jpeg,glass_shatter,0.8147290349006653
522.jpeg,door_dent,0.8131216168403625
563.jpeg,head_lamp,0.8095051646232605
1063.jpeg,glass_shatter,0.8087878227233887
231.jpeg,head_lamp,0.8054862022399902
162.jpeg,head_lamp,0.7955367565155029
1050.jpeg,glass_shatter,0.7911351919174194
371.jpeg,tail_lamp,0.7904632091522217
1494.jpeg,glass_shatter,0.7831355333328247
553.jpeg,head_lamp,0.7825263142585754
872.jpeg,door_dent,0.7791913151741028
278.jpeg,head_lamp,0.7775895595550537
542.jpeg,head_lamp,0.7669515609741211
370.jpeg,glass_shatter,0.7595059275627136
896.jpeg,head_lamp,0.75639408826828
395.jpeg,head_lamp,0.7474627494812012
582.jpeg,bumper_dent,0.7355743050575256
1456.jpeg,door_dent,0.7306675910949707
28.jpeg,glass_shatter,0.7265223264694214
1423.jpeg,glass_shatter,0.7236624956130981
1150.jpeg,head_lamp,0.7209450006484985
1074.jpeg,head_lamp,0.7199058532714844
671.jpeg,head_lamp,0.7184058427810669
483.jpeg,door_dent,0.7165697813034058
1204.jpeg,head_lamp,0.7142560482025146
1312.jpeg,tail_lamp,0.7135714888572693
633.jpeg,glass_shatter,0.7112456560134888
515.jpeg,head_lamp,0.711131751537323
1247.jpeg,glass_shatter,0.7106473445892334
1175.jpeg,door_dent,0.7091023325920105
541.jpeg,head_lamp,0.707068920135498
944.jpeg,door_dent,0.7035637497901917
157.jpeg,door_dent,0.6988160014152527
670.jpeg,tail_lamp,0.694132924079895
1435.jpeg,glass_shatter,0.6848565936088562
1105.jpeg,glass_shatter,0.6839020252227783
1383.jpeg,head_lamp,0.6820886135101318
